date,tag,asset,downloads
"2026-07-29","v2026.7.2","Ibis-2026.7.2-setup.exe",1
"2026-07-29","v2026.7.2","Ibis-2026.7.2-setup.exe.sha256",0
"2026-07-29","v2026.7.2","Ibis-2026.7.2-win64.zip",1
"2026-07-29","v2026.7.2","Ibis-2026.7.2-win64.zip.sha256",1
"2026-07-29","v2026.7.1","Ibis-2026.7.1-setup.exe",2
"2026-07-29","v2026.7.1","Ibis-2026.7.1-setup.exe.sha256",1
"2026-07-29","v2026.7.1","Ibis-2026.7.1-win64.zip",4
"2026-07-29","v2026.7.1","Ibis-2026.7.1-win64.zip.sha256",6
"2026-07-29","v2026.7.0","Ibis-2026.7.0-win64.zip",1
"2026-07-29","v2026.7.0","Ibis-2026.7.0-win64.zip.sha256",0
"2026-07-29","v0.7.2","Ibis-0.7.2-setup.exe",0
"2026-07-29","v0.7.2","Ibis-0.7.2-win64.zip",1
"2026-07-29","v0.7.2","Ibis-0.7.2-win64.zip.sha256",4
"2026-07-29","v0.7.1","Ibis-0.7.1-setup.exe",0
"2026-07-29","v0.7.1","Ibis-0.7.1-win64.zip",0
"2026-07-29","v0.7.1","Ibis-0.7.1-win64.zip.sha256",0
"2026-07-29","v0.7.0","Ibis-0.7.0-setup.exe",1
"2026-07-29","v0.7.0","Ibis-0.7.0-win64.zip",3
"2026-07-29","v0.7.0","Ibis-0.7.0-win64.zip.sha256",2
"2026-07-29","v0.6.2","Ibis-0.6.2-setup.exe",3
"2026-07-29","v0.6.2","Ibis-0.6.2-win64.zip",1
"2026-07-29","v0.6.2","Ibis-0.6.2-win64.zip.sha256",0
"2026-07-29","v0.6.1","Ibis-0.6.1-setup.exe",0
"2026-07-29","v0.6.1","Ibis-0.6.1-win64.zip",1
"2026-07-29","v0.6.1","Ibis-0.6.1-win64.zip.sha256",0
"2026-07-29","v0.6.0","Ibis-0.6.0-setup.exe",0
"2026-07-29","v0.6.0","Ibis-0.6.0-win64.zip",1
"2026-07-29","v0.6.0","Ibis-0.6.0-win64.zip.sha256",0
"2026-07-29","v0.5.5","Ibis-0.5.5-setup.exe",0
"2026-07-29","v0.5.5","Ibis-0.5.5-win64.zip",0
"2026-07-29","v0.5.5","Ibis-0.5.5-win64.zip.sha256",0
"2026-07-29","v0.5.4","Ibis-0.5.4-setup.exe",0
"2026-07-29","v0.5.4","Ibis-0.5.4-win64.zip",1
"2026-07-29","v0.5.4","Ibis-0.5.4-win64.zip.sha256",0
"2026-07-29","v0.5.3","Ibis-0.5.3-setup.exe",0
"2026-07-29","v0.5.3","Ibis-0.5.3-win64.zip",0
"2026-07-29","v0.5.3","Ibis-0.5.3-win64.zip.sha256",0
"2026-07-29","v0.5.2","Ibis-0.5.2-setup.exe",0
"2026-07-29","v0.5.2","Ibis-0.5.2-win64.zip",1
"2026-07-29","v0.5.2","Ibis-0.5.2-win64.zip.sha256",0
"2026-07-29","v0.5.1","Ibis-0.5.1-setup.exe",0
"2026-07-29","v0.5.1","Ibis-0.5.1-win64.zip",0
"2026-07-29","v0.5.1","Ibis-0.5.1-win64.zip.sha256",0
"2026-07-29","v0.5.0","Ibis-0.5.0-setup.exe",0
"2026-07-29","v0.5.0","Ibis-0.5.0-win64.zip",0
